AuthorID (authorpublication),AuthorID (authorrgroup),Author ID,Pub per author,Marketshare2021,Marketshare2020,Marketshare2019,Marketshare2018,Marketshare2017,Con Acronym,ConID (conference),ConID (conferencesubject),Con ID,Con Name,Con Rank,First Name,Job Type,Number of Records,Org ID,PubID (publication),Pub ID,Pub Name,Pub Type,Pub Year,R Group Country,R Group Full Name,RGroupID (researchgroup),R Group ID,R Group Name,SubID (subjectarea),Sub ID,Sub Name,Surname,University
2000000,2000000,2000000,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,HiPC,3000000,3000000,3000000,International Conference on High Performance Computing,National: India,Alfredo,Permanent,1,,5000013,5000013,Task-Based Multifrontal QR Solver for GPU-Accelerated Multicore Architectures.,Conference and Workshop Papers,2015,France,CISO,1000000,1000000,APO,4000000,4000000,Distributed computing and systems software,BUTTARI,CNRS
2000154,2000154,2000154,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,HiPC,3000000,3000000,3000000,International Conference on High Performance Computing,National: India,Abdoulaye,,1,,5003589,5003589,A Parallel and Scalable Framework for Insider Threat Detection.,Conference and Workshop Papers,2020,France,GD,1000004,1000004,GIS,4000000,4000000,Distributed computing and systems software,DIOP,
2000000,2000000,2000000,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,ICPADS,3000001,3000001,3000001,International Conference on Parallel and Distributed Systems,B,Alfredo,Permanent,1,,5000014,5000014,Fast and Accurate Simulation of Multithreaded Sparse Linear Algebra Solvers.,Conference and Workshop Papers,2015,France,CISO,1000000,1000000,APO,4000000,4000000,Distributed computing and systems software,BUTTARI,CNRS
2000166,2000166,2000166,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,ICPADS,3000001,3000001,3000001,International Conference on Parallel and Distributed Systems,B,Tianyi,,1,,5003843,5003843,A Node Rating Based Sharding Scheme for Blockchain.,Conference and Workshop Papers,2019,France,GD,1000004,1000004,GIS,4000000,4000000,Distributed computing and systems software,LI,
2000301,2000301,2000301,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,ICPADS,3000001,3000001,3000001,International Conference on Parallel and Distributed Systems,B,Guilherme,,1,,5008599,5008599,SNN Input Parameters - How Are They Related?,Conference and Workshop Papers,2013,France,IA,1000007,1000007,MELODI,4000000,4000000,Distributed computing and systems software,SANTOS,
2000319,2000319,2000319,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,ICPADS,3000001,3000001,3000001,International Conference on Parallel and Distributed Systems,B,Mohamed,,1,,5009066,5009066,ABSTRACT - Many Applications of Mobile Ad Hoc.,Conference and Workshop Papers,2004,France,ICI,1000008,1000008,ELIPSE,4000000,4000000,Distributed computing and systems software,Reda,
2000000,2000000,2000000,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,PPAM,3000002,3000002,3000002,International Conference on Parallel Processing and Applied Mathematics,National: Poland,Alfredo,Permanent,1,,5000033,5000033,Parallel Tiled QR Factorization for Multicore Architectures.,Conference and Workshop Papers,2007,France,CISO,1000000,1000000,APO,4000000,4000000,Distributed computing and systems software,BUTTARI,CNRS
2000004,2000004,2000004,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,PPAM,3000002,3000002,3000002,International Conference on Parallel Processing and Applied Mathematics,National: Poland,Serge,Permanent,1,,5000097,5000097,Statistical Estimates for the Conditioning of Linear Least Squares Problems.,Conference and Workshop Papers,2013,France,CISO,1000000,1000000,APO,4000000,4000000,Distributed computing and systems software,GRATTON,toulouse inp
2000005,2000005,2000005,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,PPAM,3000002,3000002,3000002,International Conference on Parallel Processing and Applied Mathematics,National: Poland,Ronan,Permanent,1,,5000141,5000141,Monitoring the Block Conjugate Gradient Convergence Within the Inexact Inverse Subspace Iteration.,Conference and Workshop Papers,2005,France,CISO,1000000,1000000,APO,4000000,4000000,Distributed computing and systems software,GUIVARCH,toulouse inp
2000010,2000010,2000010,1,0.005478251,0.007656382,0.007433839,0.007607455,0.009267841,PPAM,3000002,3000002,3000002,International Conference on Parallel Processing and Applied Mathematics,National: Poland,Daniel,Permanent,1,,5000141,5000141,Monitoring the Block Conjugate Gradient Convergence Within the Inexact Inverse Subspace Iteration.,Conference and Workshop Papers,2005,France,CISO,1000000,1000000,APO,4000000,4000000,Distributed computing and systems software,RUIZ,toulouse inp
